At_locus_id	A_LF	A_MF1	A_MF2	C_LF	C_MF1	C_MF2
AT3G51830	0	465.3333333	0	0	262	0
AT3G51820	192.6666667	274.3333333	0	365	51	0
AT3G51810	0	0	0	0	0	0
AT3G51800	242.6666667	882	795.3333333	0	22.33333333	516.6666667
AT3G51750	0	0	0	0	0	3.333333333
AT3G51740	0	51	0	0	1.333333333	0
AT3G51620	0	632.6666667	0	0	687	172.6666667
AT3G51610	0	596.6666667	79	0	7.333333333	0
AT3G51600	259	0	0	0	0	139
AT3G51590	0	0	0	0	0	3.666666667
AT3G51550	21.66666667	148.6666667	86	802.6666667	153	299
AT3G51520	0	250	177.3333333	0	26.33333333	91.66666667
AT3G51510	9.333333333	101.3333333	0	0	12.66666667	0
AT3G51500	0	189.6666667	0	0	39.66666667	1241.666667
AT3G51490	12	0	0	0	0	0
AT3G51470	162.3333333	1.333333333	0	0	0	0
AT3G51460	10.33333333	624	0	1326	43.33333333	0
AT3G51450	517	0	0	1.333333333	0	0
AT3G51440	0	2	0	0	0	0
AT3G51370	105.6666667	70.33333333	0	0	130.3333333	514
AT3G51300	19.33333333	3	0	0	0	321
AT3G51280	0	0	0	0	0	0
AT3G51270	91	170.3333333	2	0	4.333333333	91.66666667
AT3G51230	0	2.666666667	0	0	0	0
AT3G51140	1052.666667	53	468.3333333	0	206.6666667	28
AT3G51090	0	73.66666667	153.3333333	0	147.3333333	5.666666667
AT3G51080	0	24.33333333	65	0	515.6666667	6.333333333
AT3G51070	42.33333333	0	0	0	7	0
AT3G51060	94.66666667	49.66666667	0	0	3	0
AT3G51040	0	56.66666667	0	0	4	0
AT3G51000	1024.333333	138	5	0	56.33333333	26
AT3G50960	85	239.3333333	71	0	209.3333333	31.66666667
AT3G50940	0	0	111	0	0	1276.333333
AT3G50910	101.6666667	0	319	0	0	167.3333333
AT3G50900	102.3333333	7.333333333	0	104	435.3333333	1.333333333
AT3G50820	0	932	0	0	149.3333333	0
AT3G50810	1155.666667	333	688.3333333	0	0	227
AT3G50740	0	0	0	0	19.33333333	1155.666667
AT3G50660	0	130.6666667	0	307.3333333	36.33333333	0
AT3G50610	0	0	0	0	0	0
AT3G50580	0	0	0	0	0	0
AT3G50570	0	0	0	0	0	0
AT3G50560	9.666666667	0	0	0	54	0
