Gene	SG1	SG2	SG3
AT1G01040	100	0	0
AT1G01050	95.8333333321875	4.1666666678125	0
AT1G01060	100	0	0
AT1G01090	98.81305638011517	1.1869436198848278	0
AT1G01100	40	60	0
AT1G01140	0	100	0
AT1G01160	0	100	0
AT1G01210	0	100	0
AT1G01220	0	100	0
AT1G01230	0.29585798813604464	99.70414201186395	0
AT1G01240	0	100	0
AT1G01260	100	0	0
AT1G01290	0	100	0
AT1G01310	23.57414448959794	76.42585551040206	0
AT1G01320	100	0	0
AT1G01350	100	0	0
AT1G01370	0	100	0
AT1G01453	100	0	0
AT1G01460	100	0	0
AT1G01490	0	100	0
AT1G01500	86.89655172473722	13.103448275262782	0
AT1G01510	100	0	0
AT1G01520	100	0	0
AT1G01540	98.56630824329402	1.4336917567059777	0
AT1G01550	100	0	0
AT1G01570	100	0	0
AT1G01600	10.918114144169966	89.08188585583002	0
AT1G01610	0	100	0
AT1G01630	99.99999999999999	0	0
AT1G01640	100	0	0
AT1G01650	100	0	0
AT1G01660	100	0	0
AT1G01670	100	0	0
AT1G01710	100	0	0
AT1G01720	100	0	0
AT1G01750	100	0	0
AT1G01770	0	100.00000000000001	0
AT1G01780	0.49261083743842365	99.50738916256158	0
AT1G01790	57.14285713673469	42.8571428632653	0
AT1G01880	0	100	0
AT1G01910	0	100	0
AT1G01920	0	100	0
AT1G01930	0	100	0
AT1G01950	0	100	0
AT1G01970	100	0	0
AT1G01990	100	0	0
AT1G02000	100	0	0
AT1G02140	100	0	0
AT1G02145	100	0	0
AT1G02180	100	0	0
AT1G02270	100	0	0
AT1G02305	0	0	100
AT1G02380	100	0	0
AT1G02410	97.35576923123728	1.6826923074600129	0.9615384613026995
AT1G02420	0	0	100
AT1G02470	100	0	0
AT1G02530	3.587443946188341	0	96.41255605381166
AT1G02560	0	0	100
AT1G02630	0	0	100
AT1G02640	100	0	0
AT1G02660	0	1.5544041450777202	98.44559585492227
AT1G02680	100	0	0
AT1G02720	0	100	0
AT1G02740	0	100	0
AT1G02750	0	100	0
AT1G02780	47.167630056712895	27.283236994744897	25.54913294854222
AT1G02790	69.8675496701899	4.9668874175474755	25.16556291226262
AT1G02810	90.4635761602035	0	9.5364238397965
AT1G02820	100	0	0
AT1G02830	100	0	0
AT1G02860	100	0	0
AT1G02870	100	0	0
AT1G02880	100	0	0
AT1G02890	100	0	0
AT1G02910	0	0	100
AT1G02960	0	0	100
AT1G02970	0	100	0
AT1G02980	0	100	0
AT1G02990	0.8929082479026439	99.10709175209736	0
AT1G03000	7.165605096682421	92.83439490331757	0
AT1G03050	29.50819672179522	24.59016393482935	45.90163934337544
AT1G03055	0	100	0
AT1G03060	84.7222222189236	15.27777778107639	0
AT1G03070	100	0	0
AT1G03080	71.18644067675955	28.81355932324045	0
AT1G03090	0	100	0
AT1G03110	0	0	100
AT1G03120	100	0	0
AT1G03140	0	33.333333333333336	66.66666666666667
AT1G03150	100	0	0
AT1G03160	0	0	100
AT1G03190	0	0	100
AT1G03210	100	0	0
AT1G03250	100	0	0
AT1G03260	0	100	0
AT1G03280	100	0	0
AT1G03290	100	0	0
AT1G03310	100	0	0
AT1G03340	100	0	0
AT1G03350	84.33734939671942	0	15.662650603280593
AT1G03365	100	0	0
AT1G03380	99.99999999999999	0	0
AT1G03470	100	0	0
AT1G03475	0	100	0
AT1G03530	100	0	0
AT1G03540	0	100	0
AT1G03550	5.804749340120856	0	94.19525065987915
AT1G03590	79.15690866813287	0	20.84309133186712
AT1G03610	27.777777783333335	0	72.22222221666667
AT1G03620	45.8333333375	0	54.1666666625
AT1G03680	0	100	0
AT1G03710	100	0	0
AT1G03750	0	100	0
AT1G03760	19.02377972328834	0	80.97622027671167
AT1G03780	100	0	0
AT1G03790	0	0	100
AT1G03810	100	0	0
AT1G03830	0	0	100
AT1G03860	0.5056890012951489	0	99.49431099870485
AT1G03900	7.0372511764237835	0	92.96274882357622
AT1G03905	0	0	100
AT1G03910	65.68047337666748	34.319526623332514	0
AT1G03920	100	0	0
AT1G03930	0	100	0
AT1G03950	100	0	0
AT1G03970	100	0	0
AT1G03980	0	100	0
AT1G03982	100	0	0
AT1G04000	100	0	0
AT1G04010	0	100	0
AT1G04030	0	100	0
AT1G04040	0	0	100
AT1G04080	50.43668122160619	0	49.563318778393814
AT1G04090	100	0	0
AT1G04100	100.00000000000001	0	0
AT1G04120	100	0	0
AT1G04130	0	100	0
AT1G04140	0	16.972843246557847	83.02715675344214
AT1G04160	0	100	0
AT1G04170	3.508771929824561	96.49122807017544	0
AT1G04200	0	0	100
AT1G04210	2.6978417263760934	97.3021582736239	0
AT1G04260	0	0	100
AT1G04270	0	99.99999999999999	0
AT1G04290	94.17366946968293	0	5.826330530317069
AT1G04300	0.20205621912428118	0.059428299753971715	99.73851548112175
AT1G04310	100	0	0
AT1G04330	0	100	0
AT1G04340	0.7032967035149378	0	99.29670329648506
AT1G04390	100	0	0
AT1G04400	100	0	0
AT1G04410	89.41176470463668	0	10.588235295363322
AT1G04430	4.651162791772579	0	95.34883720822742
AT1G04440	100	0	0
AT1G04450	0	100	0
AT1G04470	0.9783183500761771	99.02168164992382	0
AT1G04480	0.25862068963287754	0	99.74137931036712
AT1G04500	2.5862068963287754	0	97.41379310367122
AT1G04530	100	0	0
AT1G04540	98.7586206898264	1.2413793101736028	0
AT1G04550	0	100	0
AT1G04570	100	0	0
AT1G04580	100	0	0
AT1G04590	78.31969792143991	21.680302078560086	0
AT1G04600	0	0	100
AT1G04620	99.99999999999999	0	0
AT1G04630	17.073170730101133	39.02439024336704	43.90243902653183
AT1G04640	100	0	0
AT1G04670	97.17223650323153	2.827763496768459	0
AT1G04680	100	0	0
AT1G04690	100	0	0
AT1G04700	100	0	0
AT1G04710	0	0	100
AT1G04730	100	0	0
AT1G04760	100.00000000000001	0	0
AT1G04770	100	0	0
AT1G04780	100.00000000000001	0	0
AT1G04790	100	0	0
AT1G04830	6.265060240963855	0	93.73493975903614
AT1G04850	100.00000000000001	0	0
AT1G04860	0	26.666666666666668	73.33333333333333
AT1G04880	3.639326452688933	0.48886474744909025	95.871808799862
AT1G04890	100	0	0
AT1G04900	100	0	0
AT1G04910	28.98550725160681	71.01449274839318	0
AT1G04920	100	0	0
AT1G04930	100	0	0
AT1G04945	95.11025886911693	0	4.8897411308830545
AT1G04950	99.67943009795191	0	0.3205699020480855
AT1G04960	100	0	0
AT1G04970	100	0	0
AT1G04980	100	0	0
AT1G04990	100	0	0
AT1G05010	100	0	0
AT1G05020	86.3057324863889	0	13.6942675136111
AT1G05040	100	0	0
AT1G05055	0	0	100
AT1G05090	97.55668392728151	0	2.4433160727184817
AT1G05120	94.90196078312803	0	5.098039216871973
AT1G05150	100	0	0
AT1G05170	100	0	0
AT1G05180	100	0	0
AT1G05205	100	0	0
AT1G05220	100	0	0
AT1G05230	0	100	0
AT1G05270	0	54.71698113292986	45.283018867070126
AT1G05280	0	0	100
AT1G05290	0	100	0
AT1G05320	100	0	0
AT1G05350	0.300054555424248	99.69994544457575	0
AT1G05360	0	100	0
AT1G05380	100	0	0
AT1G05430	100	0	0
AT1G05440	100	0	0
AT1G05450	0	100	0
AT1G05460	100	0	0
AT1G05500	100	0	0
AT1G05520	0	0	100
AT1G05570	100	0	0
AT1G05577	100.00000000000001	0	0
AT1G05580	100.00000000000001	0	0
AT1G05620	0	8.737864078518239	91.26213592148176
AT1G05630	0	82.35294117906575	17.647058820934255
AT1G05640	0	0	100
AT1G05670	100.00000000000001	0	0
AT1G05700	100	0	0
AT1G05720	0	40.44548651580038	59.554513484199624
AT1G05750	0	0	100
AT1G05790	96.44268774703558	0	3.5573122529644268
AT1G05820	0	0	100
AT1G05830	0	100	0
AT1G05840	0	100	0
AT1G05850	0.6944444444444444	0	99.30555555555556
AT1G05860	100	0	0
AT1G05890	0.01394284395601747	0	99.98605715604397
AT1G05894	0	0	100
AT1G05900	0	100	0
AT1G05910	56.55546935170244	43.44453064829756	0
AT1G05920	100	0	0
AT1G05960	8.653846153014054	71.15384615661982	20.192307690366125
AT1G05970	100	0	0
AT1G05990	0	0	100
AT1G06050	100	0	0
AT1G06060	0	0	100
AT1G06070	25.00000000375	0	74.99999999625
AT1G06110	0	0	100
AT1G06200	100	0	0
AT1G06210	0	100	0
AT1G06230	50.68493150710265	17.123287668319573	32.19178082457778
AT1G06290	100.00000000000001	0	0
AT1G06410	0	0	100
AT1G06430	100	0	0
AT1G06450	0	100	0
AT1G06470	100	0	0
AT1G06490	10.294117646961505	89.70588235303849	0
AT1G06510	100	0	0
AT1G06530	100	0	0
AT1G06540	100	0	0
AT1G06560	100	0	0
AT1G06570	100	0	0
AT1G06590	100	0	0
AT1G06660	63.15789473518005	0	36.84210526481994
AT1G06680	100	0	0
AT1G06690	0	0	100
AT1G06700	37.30569948379822	62.69430051620178	0
AT1G06720	0	100	0
AT1G06730	100	0	0
AT1G06750	0	100	0
AT1G06760	100	0	0
AT1G06780	84.03669725063547	15.96330274936453	0
AT1G06850	0	67.24137930454816	32.758620695451846
AT1G06870	79.36507936281178	20.634920637188205	0
AT1G06890	67.73006134886221	31.165644172623736	1.1042944785140578
AT1G06900	76.92307692396449	0	23.0769230760355
AT1G06910	0	100	0
AT1G06950	100	0	0
AT1G06970	0	0	100
AT1G07000	100	0	0
AT1G07030	100	0	0
AT1G07040	100	0	0
AT1G07050	100	0	0
AT1G07060	100	0	0
AT1G07070	100	0	0
AT1G07080	17.39130434484877	73.91304348109641	8.69565217405482
AT1G07110	30.58252427036007	0	69.41747572963992
AT1G07140	0	0.8658008658008658	99.13419913419914
AT1G07180	100	0	0
AT1G07200	100.00000000000001	0	0
AT1G07210	91.74311926529752	8.256880734702465	0
AT1G07220	70.96774193454735	29.032258065452655	0
AT1G07230	100	0	0
AT1G07250	100	0	0
AT1G07260	100	0	0
AT1G07270	100	0	0
AT1G07290	0	100	0
