Gene	SG1	SG2	SG3
AT1G01010	100	0	0
AT1G01020	100	0	0
AT1G01030	100	0	0
AT1G01040	100	0	0
AT1G01050	67.5655707412216	32.4344292587784	0
AT1G01060	100	0	0
AT1G01070	100	0	0
AT1G01080	100	0	0
AT1G01090	16.053921571623594	83.94607842837641	0
AT1G01100	12.604290822032054	87.39570917796794	0
AT1G01110	100	0	0
AT1G01120	99.03173749301553	0.9682625069844708	0
AT1G01140	38.003502629141735	61.99649737085827	0
AT1G01160	79.90675991330627	20.093240086693726	0
AT1G01190	100	0	0
AT1G01200	99.99999999999999	0	0
AT1G01210	0	99.99999999999999	0
AT1G01220	0	100	0
AT1G01225	0	100	0
AT1G01230	73.01275760549558	26.987242394504417	0
AT1G01240	62.39316239316239	37.60683760683761	0
AT1G01250	80.60165975187346	19.39834024812654	0
AT1G01260	100	0	0
AT1G01290	0	100	0
AT1G01300	100	0	0
AT1G01310	84.43694643544653	15.563053564553481	0
AT1G01320	100	0	0
AT1G01350	100	0	0
AT1G01360	100	0	0
AT1G01370	0	100	0
AT1G01430	100	0	0
AT1G01490	78.58823529092872	21.411764709071278	0
AT1G01500	97.54500818310517	2.454991816894844	0
AT1G01510	100	0	0
AT1G01520	100	0	0
AT1G01540	38.16192560445681	61.838074395543195	0
AT1G01550	100	0	0
AT1G01570	99.99999999999999	0	0
AT1G01580	0	100	0
AT1G01590	0	100	0
AT1G01600	12.059659090480837	87.94034090951916	0
AT1G01610	11.311053986855756	88.68894601314423	0
AT1G01620	38.461538463313616	61.5384615366864	0
AT1G01630	84.04494381937633	15.955056180623659	0
AT1G01640	100	0	0
AT1G01650	56.72514619167436	43.27485380832564	0
AT1G01660	100	0	0
AT1G01670	100.00000000000001	0	0
AT1G01680	100	0	0
AT1G01710	100	0	0
AT1G01720	100.00000000000001	0	0
AT1G01725	100	0	0
AT1G01730	0	100	0
AT1G01740	100	0	0
AT1G01750	12.532981531496926	87.46701846850307	0
AT1G01760	100	0	0
AT1G01770	0	99.99999999999999	0
AT1G01780	90.10238907849829	9.897610921501707	0
AT1G01790	22.284699615930293	77.7153003840697	0
AT1G01800	100	0	0
AT1G01820	0	100	0
AT1G01830	100	0	0
AT1G01840	100	0	0
AT1G01860	0	100	0
AT1G01880	0	100	0
AT1G01900	100	0	0
AT1G01910	0	100	0
AT1G01920	0	100	0
AT1G01930	0	100	0
AT1G01940	0	100	0
AT1G01950	0	100	0
AT1G01970	100	0	0
AT1G01990	100	0	0
AT1G02000	100	0	0
AT1G02065	100	0	0
AT1G02120	99.99999999999999	0	0
AT1G02140	100	0	0
AT1G02145	100	0	0
AT1G02150	100	0	0
AT1G02160	100	0	0
AT1G02170	100	0	0
AT1G02180	100	0	0
AT1G02220	100	0	0
AT1G02260	0	99.99999999999999	0
AT1G02270	99.76580796255264	0.23419203744736164	0
AT1G02280	35.743519786102084	64.25648021389792	0
AT1G02305	0	0	100
AT1G02310	100	0	0
AT1G02330	100	0	0
AT1G02335	100	0	0
AT1G02340	66.10169491413386	33.898305085866134	0
AT1G02360	100	0	0
AT1G02370	100	0	0
AT1G02380	100	0	0
AT1G02390	100	0	0
AT1G02410	0	68.53860881101075	31.461391188989232
AT1G02420	0	0	100
AT1G02440	0	100	0
AT1G02450	46.666666660000004	53.33333334	0
AT1G02460	100	0	0
AT1G02470	84.84848484848484	15.151515151515152	0
AT1G02475	100	0	0
AT1G02530	88.53448275839551	0	11.46551724160449
AT1G02560	61.695607759110885	0	38.304392240889115
AT1G02630	0	0	100
AT1G02640	100	0	0
AT1G02660	0	69.37383757189627	30.626162428103726
AT1G02680	1.5974440895548592	0	98.40255591044513
AT1G02690	100	0	0
AT1G02700	100	0	0
AT1G02730	100	0	0
AT1G02740	0	100	0
AT1G02750	4.16184971074209	95.83815028925791	0
AT1G02780	1.6786885245209695	66.79344262809417	31.527868847384877
AT1G02790	87.11186729106286	0	12.888132708937128
AT1G02810	58.93246186274509	0	41.0675381372549
AT1G02816	0	100	0
AT1G02830	100	0	0
AT1G02850	100	0	0
AT1G02860	69.94219653409736	30.05780346590263	0
AT1G02870	100	0	0
AT1G02880	27.221074382518488	0	72.77892561748152
AT1G02890	39.18918919001096	60.81081080998905	0
AT1G02910	0	0	100
AT1G02930	84.19506463028117	0	15.804935369718834
AT1G02940	100	0	0
AT1G02950	73.91304347939509	26.086956520604915	0
AT1G02960	0	0	100
AT1G02970	0	88.4955752213564	11.504424778643589
AT1G02990	20.816733067729082	79.18326693227091	0
AT1G03000	19.080197639680726	80.91980236031927	0
AT1G03010	0	100	0
AT1G03030	99.99999999999999	0	0
AT1G03040	100	0	0
AT1G03050	44.45730154928159	10.529969916929645	45.012728533788774
AT1G03055	0	100.00000000000001	0
AT1G03060	7.036569985614989	92.96343001438501	0
AT1G03070	100	0	0
AT1G03080	42.93895614994143	57.06104385005857	0
AT1G03090	0	100	0
AT1G03100	100	0	0
AT1G03110	98.61317483914674	0	1.3868251608532465
AT1G03140	0	95.83941605869785	4.160583941302147
AT1G03150	65.34090909003744	0	34.65909090996255
AT1G03160	0	0	100
AT1G03170	90.37267081026002	0	9.62732918973998
AT1G03190	0	0	100
AT1G03210	100	0	0
AT1G03220	0	0	100
AT1G03230	0	5.6199821582854605	94.38001784171453
AT1G03250	100	0	0
AT1G03260	0	100	0
AT1G03270	63.7122002123345	36.287799787665506	0
AT1G03280	100	0	0
AT1G03290	100	0	0
AT1G03310	100.00000000000001	0	0
AT1G03320	100	0	0
AT1G03330	91.51414309342996	0	8.485856906570026
AT1G03340	100	0	0
AT1G03350	39.473684210526315	0	60.526315789473685
AT1G03360	100	0	0
AT1G03365	100	0	0
AT1G03380	100	0	0
AT1G03390	100	0	0
AT1G03400	100	0	0
AT1G03430	100	0	0
AT1G03440	71.875	0	28.125
AT1G03457	100.00000000000001	0	0
AT1G03470	100	0	0
AT1G03475	95.27373823760634	4.726261762393656	0
AT1G03510	0	0	100
AT1G03530	82.41582041248446	0	17.584179587515543
AT1G03540	0	0	100
AT1G03550	0	0	100
AT1G03560	100	0	0
AT1G03590	41.354723699247906	0	58.64527630075209
AT1G03600	21.81000561551433	0	78.18999438448566
AT1G03610	92.35048678709418	0	7.649513212905809
AT1G03620	0	0	100
AT1G03630	93.469387755217	0	6.530612244783006
AT1G03650	0	100	0
AT1G03680	0	100	0
AT1G03687	0	100	0
AT1G03710	100	0	0
AT1G03730	0	100	0
AT1G03740	99.16966509802647	0.830334901973522	0
AT1G03750	0	100	0
AT1G03760	99.99999999999999	0	0
AT1G03770	100	0	0
AT1G03780	58.603736489675526	41.39626351032448	0
AT1G03820	79.692521496366	0	20.307478503634
AT1G03830	0	0	100
AT1G03840	100	0	0
AT1G03850	100	0	0
AT1G03860	56.20503597233903	41.63669064597782	2.1582733816831428
AT1G03870	100	0	0
AT1G03880	100.00000000000001	0	0
AT1G03900	1.5384615384615385	0	98.46153846153847
AT1G03905	0	0	100
AT1G03910	56.610169485130704	43.389830514869296	0
AT1G03920	100	0	0
AT1G03930	0	100	0
AT1G03950	100	0	0
AT1G03960	0	0	100
AT1G03970	100	0	0
AT1G03980	0	100	0
AT1G03990	100	0	0
AT1G04000	100	0	0
AT1G04010	8.280254777070065	91.71974522292993	0
AT1G04020	0	100	0
