Gene	SG1	SG2	SG3	SG4	SG5	SG6
AT1G01010	30.00000000230769	0	0	69.9999999976923	0	0
AT1G01020	100	0	0	0	0	0
AT1G01030	100	0	0	0	0	0
AT1G01040	99.21568627441029	0	0	0.7843137255897182	0	0
AT1G01050	67.5655707412216	32.4344292587784	0	0	0	0
AT1G01060	1.903435469438862	0	0	98.09656453056114	0	0
AT1G01070	100	0	0	0	0	0
AT1G01080	100	0	0	0	0	0
AT1G01090	16.053921571623594	83.94607842837641	0	0	0	0
AT1G01100	12.604290822032054	87.39570917796794	0	0	0	0
AT1G01110	0.819672131147541	0	0	99.18032786885246	0	0
AT1G01120	84.00638831293766	0.8213552363082866	0	15.172256450754059	0	0
AT1G01140	31.836854463028168	51.936619718309856	0	16.22652581866197	0	0
AT1G01160	79.90675991330627	20.093240086693726	0	0	0	0
AT1G01170	0	0	0	100.00000000000001	0	0
AT1G01180	0	0	0	100	0	0
AT1G01190	100	0	0	0	0	0
AT1G01200	99.99999999999999	0	0	0	0	0
AT1G01210	0	99.99999999999999	0	0	0	0
AT1G01220	0	100	0	0	0	0
AT1G01225	0	100	0	0	0	0
AT1G01230	66.36931311329171	24.531668153434435	0	9.099018733273862	0	0
AT1G01240	62.39316239316239	37.60683760683761	0	0	0	0
AT1G01250	68.09815950979927	16.3891323393198	0	15.512708150880917	0	0
AT1G01260	56.533624934033156	0	0	43.46637506596685	0	0
AT1G01290	0	100	0	0	0	0
AT1G01300	100	0	0	0	0	0
AT1G01310	79.82456140238605	14.712918660815056	0	5.462519936798893	0	0
AT1G01320	100	0	0	0	0	0
AT1G01350	2.770083102493075	0	0	97.22991689750693	0	0
AT1G01360	100	0	0	0	0	0
AT1G01370	0	100	0	0	0	0
AT1G01420	0	0	0	100	0	0
AT1G01430	44.729344743589735	0	0	55.27065525641025	0	0
AT1G01453	0	0	0	100	0	0
AT1G01480	0	0	0	100	0	0
AT1G01490	78.58823529092872	21.411764709071278	0	0	0	0
AT1G01500	72.02416918695157	1.812688821971322	0	26.163141991077115	0	0
AT1G01510	99.5348837208994	0	0	0.465116279100595	0	0
AT1G01520	43.58490566037736	0	0	56.41509433962264	0	0
AT1G01540	38.16192560445681	61.838074395543195	0	0	0	0
AT1G01550	100	0	0	0	0	0
AT1G01570	18.625146884173038	0	0	81.37485311582697	0	0
AT1G01580	0	100	0	0	0	0
AT1G01590	0	100	0	0	0	0
AT1G01600	10.108647119505365	73.71335019951104	0	16.1780026809836	0	0
AT1G01610	2.4774774781660884	19.425675676660084	0	78.09684684517383	0	0
AT1G01620	29.411764710034607	47.058823532525956	0	23.529411757439448	0	0
AT1G01630	72.62135922064284	13.786407767357906	0	13.592233011999244	0	0
AT1G01640	64.34137996023104	0	0	35.65862003976896	0	0
AT1G01650	56.72514619167436	43.27485380832564	0	0	0	0
AT1G01660	100	0	0	0	0	0
AT1G01670	11.76470588365052	0	0	88.23529411634948	0	0
AT1G01680	17.347542926324024	0	0	82.65245707367598	0	0
AT1G01710	78.85037296714128	0	0	21.149627032858728	0	0
AT1G01720	44.0382941775457	0	0	55.9617058224543	0	0
AT1G01725	100	0	0	0	0	0
AT1G01730	0	64.5245559090909	0	0	35.475444090909086	0
AT1G01740	64.04494382166392	0	0	35.955056178336065	0	0
AT1G01750	12.532981531496926	87.46701846850307	0	0	0	0
AT1G01760	96.46659116727824	0	0	3.533408832721765	0	0
AT1G01770	0	90.95940959410615	0	0	9.040590405893846	0
AT1G01780	77.83783783822034	8.550368550410568	0	0	13.611793611369102	0
AT1G01790	12.32405892000732	42.978723403329106	0	0.45826513910741157	44.23895253755615	0
AT1G01800	98.44660194184316	0	0	1.5533980581568478	0	0
AT1G01820	0	24.674949438755423	0	0	75.32505056124458	0
AT1G01830	68.88412017315201	0	0	31.11587982684798	0	0
AT1G01840	79.2279411788326	0	0	20.772058821167416	0	0
AT1G01860	0	45.71984435692062	0	0	54.280155643079375	0
AT1G01880	0	14.300626304203476	0	0	85.69937369579654	0
AT1G01900	25.80645161020717	0	0	74.19354838979284	0	0
AT1G01910	0	81.8672423107465	0	0	18.132757689253495	0
AT1G01920	0	62.37623762376238	0	0	37.62376237623762	0
AT1G01930	0	26.88172042626728	0	0	73.1182795737327	0
AT1G01940	0	64.29433052042151	0	0	35.70566947957848	0
AT1G01950	0	32.33082707066207	0	0	67.66917292933795	0
AT1G01960	0	0	0	0	99.99999999999999	0
AT1G01970	6.09284332629663	0	0	93.90715667370337	0	0
AT1G01990	71.53379549270078	0	0	28.466204507299228	0	0
AT1G02000	100	0	0	0	0	0
AT1G02010	0	0	0	0	100	0
AT1G02065	4.657534246575342	0	0	0	95.34246575342466	0
AT1G02070	0	0	0	0	100	0
AT1G02080	0	0	0	0	100	0
AT1G02090	0	0	0	100	0	0
AT1G02120	83.68263472934892	0	0	16.317365270651063	0	0
AT1G02130	0	0	0	0	100	0
