Gene	SG1	SG2	SG3
AT1G01010	100	0	0
AT1G01040	100	0	0
AT1G01060	100	0	0
AT1G01110	100	0	0
AT1G01120	100.00000000000001	0	0
AT1G01140	99.99999999999999	0	0
AT1G01170	100.00000000000001	0	0
AT1G01180	100	0	0
AT1G01230	100	0	0
AT1G01250	100	0	0
AT1G01260	100	0	0
AT1G01310	100	0	0
AT1G01350	100	0	0
AT1G01420	100	0	0
AT1G01430	100	0	0
AT1G01453	100	0	0
AT1G01480	100	0	0
AT1G01500	100	0	0
AT1G01510	100.00000000000001	0	0
AT1G01520	100	0	0
AT1G01570	100	0	0
AT1G01600	100	0	0
AT1G01610	100	0	0
AT1G01620	100	0	0
AT1G01630	100	0	0
AT1G01640	100	0	0
AT1G01670	100	0	0
AT1G01680	100	0	0
AT1G01710	100	0	0
AT1G01720	99.99999999999999	0	0
AT1G01730	0	100	0
AT1G01740	100	0	0
AT1G01760	100	0	0
AT1G01770	0	100	0
AT1G01780	0	100	0
AT1G01790	1.0252654704873765	98.97473452951262	0
AT1G01800	100	0	0
AT1G01820	0	100	0
AT1G01830	100	0	0
AT1G01840	100	0	0
AT1G01860	0	100	0
AT1G01880	0	100	0
AT1G01900	100.00000000000001	0	0
AT1G01910	0	100	0
AT1G01920	0	100	0
AT1G01930	0	100	0
AT1G01940	0	99.99999999999999	0
AT1G01950	0	100	0
AT1G01960	0	99.99999999999999	0
AT1G01970	100	0	0
AT1G01990	100	0	0
AT1G02010	0	100	0
AT1G02065	0	100	0
AT1G02070	0	100	0
AT1G02080	0	100	0
AT1G02090	100	0	0
AT1G02120	100	0	0
AT1G02130	0	100	0
AT1G02140	100	0	0
AT1G02180	100	0	0
AT1G02205	0	100	0
AT1G02280	100	0	0
AT1G02305	0	0	100
AT1G02330	100	0	0
AT1G02340	100	0	0
AT1G02360	100	0	0
AT1G02370	100	0	0
AT1G02410	0	100	0
AT1G02440	0	100	0
AT1G02450	0	100	0
AT1G02460	100	0	0
AT1G02470	0	100	0
AT1G02475	0	99.99999999999999	0
AT1G02520	0	0	100
AT1G02560	94.97126436781609	0	5.028735632183908
AT1G02610	100	0	0
AT1G02630	0	0	100
AT1G02640	100	0	0
AT1G02660	0	40.917782025638964	59.08221797436103
AT1G02680	0	0	100
AT1G02740	0	100	0
AT1G02750	0	100	0
AT1G02780	0	11.673292374926023	88.32670762507396
AT1G02790	0	0	100
AT1G02810	0	0	100
AT1G02816	0	100	0
AT1G02870	98.15051020401904	0	1.8494897959809633
AT1G02880	0	0	100
AT1G02890	100	0	0
AT1G02900	2.985074626865672	0	97.01492537313433
AT1G02910	0	0	100
AT1G02930	0	0	100
AT1G02950	100	0	0
AT1G02960	0	0	100
AT1G02970	0	4.338842974758384	95.66115702524162
AT1G02990	0	100	0
AT1G03000	0	100	0
AT1G03010	0	100	0
AT1G03030	100	0	0
AT1G03040	100	0	0
AT1G03050	0	99.69064191812113	0.3093580818788658
AT1G03055	0	100	0
AT1G03060	96.45032190769962	3.5496780923003866	0
AT1G03070	100	0	0
AT1G03080	0	100	0
AT1G03090	0	100	0
AT1G03100	100	0	0
AT1G03110	0	0	100
AT1G03140	0	19.08269166323794	80.91730833676205
AT1G03160	0	0	100
AT1G03170	82.22591362126246	0	17.774086378737543
AT1G03180	0	0	100
AT1G03190	0	0	100
AT1G03210	100	0	0
AT1G03220	0	0	100
AT1G03230	0	0	100
AT1G03260	0	100	0
AT1G03270	0	100	0
AT1G03310	92.58605472263142	0	7.413945277368584
AT1G03330	0	0	99.99999999999999
AT1G03340	100	0	0
AT1G03350	37.68115942665406	0	62.31884057334594
AT1G03360	66.71956831720672	0	33.28043168279328
AT1G03390	100	0	0
AT1G03430	100	0	0
AT1G03440	80.15873016094105	0	19.84126983905896
AT1G03457	100	0	0
AT1G03475	35.50295857988166	64.49704142011835	0
AT1G03510	0	0	100
AT1G03530	0	0	100
AT1G03540	0	0	100
AT1G03550	0	99.28331466959101	0.7166853304089916
AT1G03590	0	0	100
AT1G03600	0	0	100
AT1G03610	63.31528530084837	0	36.68471469915163
AT1G03620	0	0	100
AT1G03630	15.326155792610901	0	84.6738442073891
AT1G03650	0	100.00000000000001	0
AT1G03680	0	100	0
AT1G03687	0	100	0
AT1G03730	0	100	0
AT1G03740	100	0	0
AT1G03750	0	100	0
AT1G03760	97.28105984674357	0	2.71894015325642
AT1G03770	100	0	0
AT1G03780	88.26429980073351	11.735700199266484	0
AT1G03790	0	0	100
AT1G03800	100	0	0
AT1G03820	80.13245033178369	0	19.867549668216306
AT1G03830	0	0	100
AT1G03850	0	100	0
AT1G03860	2.5663980899731427	95.97135183527305	1.4622500747538048
AT1G03880	100	0	0
AT1G03900	0	0	100
AT1G03905	0	0	100
AT1G03910	0	99.99999999999999	0
AT1G03920	100	0	0
AT1G03930	0	100	0
AT1G03940	0	0	100
AT1G03950	48.29586656647601	0	51.704133433524
AT1G03960	0	0	100
AT1G03970	100	0	0
AT1G03980	0	100	0
AT1G03982	100	0	0
AT1G03990	100	0	0
AT1G04000	96.02803738295322	3.9719626170467954	0
AT1G04010	94.41624365506196	5.5837563449380285	0
AT1G04020	0	100	0
AT1G04040	0	18.53281853281853	81.46718146718146
AT1G04070	100	0	0
AT1G04080	91.57392686658865	0	8.42607313341135
AT1G04090	100	0	0
AT1G04100	100	0	0
AT1G04120	100	0	0
AT1G04130	0	100.00000000000001	0
AT1G04140	0	99.21752738626375	0.7824726137362518
AT1G04160	0	100	0
AT1G04170	0	29.459119494339625	70.54088050566037
AT1G04200	0	0	100
AT1G04210	0	100	0
AT1G04220	16.342412451361866	0	83.65758754863813
AT1G04240	0	100	0
AT1G04250	0	68.38487972938144	31.615120270618554
AT1G04260	0	0	100
AT1G04270	0	24.10803601602335	75.89196398397665
AT1G04280	0	0	100
AT1G04290	23.132969028994594	0	76.86703097100539
AT1G04300	1.6829533109926895	21.172638435447592	77.14440825355972
AT1G04310	84.14062500328674	0	15.859374996713255
AT1G04340	84.5700702776946	0	15.429929722305403
AT1G04350	0	0	100
AT1G04380	0	0	100
AT1G04390	100	0	0
AT1G04400	98.82392473081121	0	1.1760752691887923
AT1G04410	77.65042980262889	0	22.349570197371122
AT1G04420	100	0	0
AT1G04430	0	0	100
AT1G04440	100	0	0
AT1G04445	0	0	100
AT1G04450	0	0	100
AT1G04470	47.22955145133353	52.770448548666465	0
AT1G04480	81.06813342781925	2.4308019873981	16.501064584782647
AT1G04490	100	0	0
AT1G04500	98.85714285714286	0	1.1428571428571428
AT1G04510	9.189414460867399	0	90.8105855391326
AT1G04530	100	0	0
AT1G04540	0	100	0
AT1G04550	25.359712224514453	74.64028777548555	0
AT1G04560	0	100	0
AT1G04590	0	100	0
AT1G04630	0	0	100
AT1G04640	0	0	100
AT1G04645	0	0	100
AT1G04650	0	0	100
AT1G04660	0	0	100
AT1G04680	0.3289645449495741	0.05221659443121868	99.6188188606192
AT1G04690	46.54731457844664	0	53.45268542155337
AT1G04710	0	0	100
AT1G04730	0	0	100
AT1G04760	38.08422026711522	58.76908838554657	3.1466913473382094
AT1G04770	84.31372548546713	0	15.686274514532872
AT1G04780	37.731481493055554	0	62.26851850694444
AT1G04830	100	0	0
AT1G04840	100	0	0
AT1G04850	99.72752043603523	0	0.27247956396476325
AT1G04860	0	21.483180430377285	78.51681956962273
AT1G04880	0	0	100
AT1G04890	100	0	0
AT1G04910	92.82814614343708	7.171853856562923	0
AT1G04920	100	0	0
AT1G04930	100	0	0
AT1G04945	34.062579494634	0	65.93742050536599
AT1G04950	98.06496198998595	0	1.9350380100140463
AT1G04980	100	0	0
AT1G04985	0	0	100
AT1G05000	100	0	0
AT1G05010	100	0	0
AT1G05020	0	0	100
AT1G05055	0	0	100
AT1G05090	0	0	100
AT1G05120	0	0	100
AT1G05150	0	0	100
AT1G05180	0	82.83410138351182	17.165898616488192
AT1G05190	0	100	0
AT1G05200	0	100	0
AT1G05205	0	100	0
AT1G05220	0	0	100
AT1G05230	97.87798408462102	2.1220159153789866	0
AT1G05250	0	0	100
AT1G05260	0	0	99.99999999999999
AT1G05270	0	7.2502210418633775	92.74977895813662
AT1G05280	0	0	100
AT1G05310	0	100	0
AT1G05350	22.936400539720136	77.06359946027986	0
AT1G05360	0	100	0
AT1G05370	85.4760623999206	14.523937600079401	0
AT1G05380	100	0	0
AT1G05385	100	0	0
AT1G05430	100	0	0
AT1G05440	0	100	0
AT1G05450	28.288543141042595	71.7114568589574	0
AT1G05470	15.317725752956276	84.34782608641733	0.3344481606263912
AT1G05500	2.0671834621386935	0	97.93281653786131
AT1G05520	0	0	100
AT1G05540	26.13538989717223	0	73.86461010282775
AT1G05550	74.06199020784045	0	25.938009792159544
AT1G05580	100	0	0
AT1G05590	0	100	0
AT1G05600	100	0	0
AT1G05620	0	63.333333329999995	36.66666667
AT1G05630	14.141414141414142	64.14141414141415	21.717171717171716
AT1G05640	0	0	100
AT1G05650	0	0	100
AT1G05660	0	0	100
AT1G05670	100	0	0
AT1G05680	45.59496567350101	0	54.405034326499
AT1G05690	0	0	100
AT1G05700	0	0	100
AT1G05710	0	0	100
AT1G05720	0	96.07843137181261	3.9215686281873836
AT1G05740	0	100	0
AT1G05750	0	0	100
AT1G05790	28.88888888088889	0	71.1111111191111
AT1G05805	100	0	0
AT1G05820	0	0	100
AT1G05830	0	100	0
AT1G05835	0	0	100
AT1G05840	0	100	0
AT1G05850	0	0	100
AT1G05860	98.7160346374999	0	1.2839653625001015
AT1G05870	99.99999999999999	0	0
AT1G05890	0	0	100
AT1G05894	0	0	100
AT1G05900	0	100	0
AT1G05910	0	100	0
AT1G05950	0	100	0
AT1G05960	41.89519023177806	1.608040200609797	56.496769567612134
AT1G05970	100	0	0
AT1G05990	0	0	100
AT1G06010	0	12.761276127612762	87.23872387238724
AT1G06030	0	14.902893385535595	85.09710661446441
AT1G06040	0	14.660493830739883	85.3395061692601
AT1G06050	100	0	0
AT1G06060	1.6304347827352823	0	98.36956521726472
AT1G06070	24.04891304347826	0	75.95108695652173
AT1G06080	0	100	0
AT1G06100	0	77.4787535378865	22.521246462113492
AT1G06110	0	0	100.00000000000001
AT1G06130	0	100	0
AT1G06140	100	0	0
AT1G06150	95.17857142943241	4.821428570567602	0
AT1G06180	100	0	0
AT1G06190	18.861553299565845	0	81.13844670043414
AT1G06200	94.57364341200649	0	5.426356587993511
AT1G06210	0	95.24886877720563	4.751131222794374
AT1G06220	0	9.693318732117557	90.30668126788244
AT1G06230	28.10858143730773	37.17162872316863	34.71978983952363
AT1G06240	0	0	100
AT1G06250	0	0	100.00000000000001
AT1G06260	0	0	99.99999999999999
AT1G06280	0	0	100
AT1G06310	100	0	0
AT1G06320	0	0	100
AT1G06340	0	0	100
AT1G06350	0	0	100
AT1G06360	0	0	100
AT1G06380	0	100	0
AT1G06400	0	100	0
AT1G06410	73.23943661644516	0	26.760563383554853
AT1G06430	52.601156069664874	0	47.398843930335126
AT1G06440	100	0	0
AT1G06460	0	0	100
AT1G06470	90.73170731751577	0	9.268292682484235
AT1G06490	0	100	0
AT1G06500	0	99.99999999999999	0
AT1G06510	100	0	0
AT1G06520	100	0	0
AT1G06530	36.21299450066891	63.78700549933108	0
AT1G06540	100	0	0
AT1G06550	0	0	100
AT1G06560	9.93698497338491	0	90.0630150266151
AT1G06570	58.27147401996516	41.72852598003484	0
AT1G06580	0	100	0
AT1G06590	97.45644599328232	2.5435540067176974	0
AT1G06620	0	100	0
AT1G06645	0	100	0
AT1G06660	0	0	100
AT1G06680	0	1.015228426395939	98.98477157360406
AT1G06690	0	0	100
AT1G06700	0	100	0
AT1G06710	100	0	0
AT1G06720	70.65217391623345	29.347826083766538	0
AT1G06730	100	0	0
AT1G06750	0	100	0
AT1G06760	100	0	0
AT1G06780	90.5235602094019	9.47643979059812	0
AT1G06790	0	88.219780220168	11.780219779832002
AT1G06820	0	100	0
AT1G06830	0.3482298317091253	99.65177016829088	0
AT1G06850	0	85.9239653479124	14.076034652087593
AT1G06870	0	100	0
AT1G06890	0	14.91351099191729	85.08648900808271
AT1G06900	3.781512605200904	35.71428571158464	60.50420168321446
AT1G06910	0	100	0
AT1G06950	40	0	60
AT1G06970	0	2.823179791976226	97.17682020802377
AT1G06980	0	50	50
AT1G07000	100	0	0
AT1G07010	0	0	100
AT1G07020	0	0	100
AT1G07050	0	0	100
AT1G07060	100	0	0
AT1G07080	1.372624110339503	94.2192570507288	4.408118838931708
AT1G07090	1.252609603078787	98.7473903969212	0
AT1G07110	0	88.49557522100399	11.504424778996006
AT1G07120	0	0	100
AT1G07135	0	100	0
AT1G07140	97.59473564860023	2.4052643513997705	0
AT1G07170	100	0	0
AT1G07180	0	0	100.00000000000001
AT1G07200	90.82266910387267	9.177330896127321	0
AT1G07210	0	100	0
AT1G07220	2.2296544028981784	97.77034559710182	0
AT1G07230	100	0	0
AT1G07250	0	100	0
AT1G07260	100	0	0
AT1G07280	0	100	0
AT1G07290	0	100	0
AT1G07300	3.580146461321561	96.41985353867844	0
AT1G07310	0	100	0
AT1G07330	0	0	100
AT1G07340	0	0	100
AT1G07360	0	0	100
AT1G07370	86.04651162855598	13.953488371444024	0
AT1G07380	0	0	100
AT1G07390	0	100	0
AT1G07410	0	0	100
AT1G07420	0	47.34693877765931	52.653061222340696
AT1G07430	0	100	0
AT1G07450	0	98.90873015852378	1.0912698414762259
AT1G07460	0	100	0
AT1G07480	0	62.727272730123964	37.272727269876036
AT1G07485	0	0	100
AT1G07510	0	100	0
AT1G07530	0	0	100
AT1G07540	0	0	100
AT1G07590	0	100	0
AT1G07610	0	100	0
AT1G07615	0	100	0
AT1G07630	100	0	0
AT1G07640	0	100	0
AT1G07645	100	0	0
AT1G07670	0	0	100
AT1G07730	100	0	0
AT1G07740	0	0	100
AT1G07750	0	100	0
AT1G07810	0	100	0
AT1G07830	0	100	0
AT1G07850	100	0	0
AT1G07870	0	0	100
AT1G07890	0	3.65988909413457	96.34011090586543
AT1G07910	0	100	0
AT1G07940	100	0	0
AT1G07980	99.94471574680321	0.05528425319678575	0
AT1G07990	3.796185935267949	5.464839095081338	90.73897496965071
AT1G08010	0	39.13043478345936	60.86956521654064
AT1G08030	0	0	100
AT1G08035	0	0	100.00000000000001
AT1G08040	100	0	0
AT1G08050	16.41659311562224	0	83.58340688437775
AT1G08060	14.11111111111111	85.88888888888889	0
AT1G08100	0	0	100
AT1G08110	100	0	0
AT1G08125	100	0	0
AT1G08130	0	100	0
AT1G08135	100	0	0
AT1G08140	0	100	0
AT1G08150	0	100	0
AT1G08160	47.23127035520271	6.188925081127651	46.57980456366964
AT1G08180	99.73958333326783	0	0.2604166667321777
AT1G08200	6.560449859549367	4.076850983857332	89.3626991565933
AT1G08210	0	0.20600353152036774	99.79399646847963
AT1G08220	0	14.9456521756631	85.0543478243369
AT1G08230	0	0	100
AT1G08250	0	100	0
AT1G08280	100	0	0
AT1G08290	83.1099195665174	16.890080433482595	0
AT1G08300	100	0	0
AT1G08310	0	0	100
AT1G08315	100	0	0
AT1G08340	100	0	0
AT1G08370	0	53.55663605078337	46.44336394921663
AT1G08380	8.42767295708081	43.773584908138126	47.79874213478106
AT1G08390	100.00000000000001	0	0
AT1G08410	0	100	0
AT1G08420	0	100	0
AT1G08450	0	100	0
AT1G08460	0	100	0
AT1G08470	100	0	0
AT1G08490	100	0	0
AT1G08500	0	100	0
AT1G08510	68.00750871279163	31.992491287208367	0
AT1G08530	100	0	0
AT1G08540	100	0	0
AT1G08550	100	0	0
AT1G08560	100	0	0
AT1G08570	11.53846153801775	88.46153846198224	0
AT1G08580	78.02197802505736	21.97802197494264	0
AT1G08600	0.9424083770620323	99.05759162293796	0
AT1G08610	0	100	0
AT1G08620	100	0	0
AT1G08630	0	100	0
AT1G08660	94.13646055474946	5.863539445250521	0
AT1G08680	100	0	0
AT1G08700	100	0	0
AT1G08710	100	0	0
AT1G08720	0	99.99999999999999	0
AT1G08750	100.00000000000001	0	0
AT1G08760	63.26530612394835	36.734693876051644	0
AT1G08770	100	0	0
AT1G08800	100	0	0
AT1G08820	0	100	0
AT1G08830	90.45454545411157	9.545454545888429	0
AT1G08840	0	100.00000000000001	0
AT1G08845	0.7449856733382483	99.25501432666175	0
AT1G08860	0	100	0
AT1G08900	100	0	0
AT1G08910	0	100	0
AT1G08940	100	0	0
AT1G08960	0	100	0
AT1G08970	91.6827852989199	8.317214701080104	0
AT1G08980	0	100	0
AT1G09000	100	0	0
AT1G09010	100.00000000000001	0	0
AT1G09020	91.02564102564102	8.974358974358974	0
AT1G09060	100	0	0
AT1G09070	66.98039216470589	33.01960783529412	0
AT1G09090	0	100	0
AT1G09130	100	0	0
AT1G09140	100	0	0
AT1G09150	100	0	0
AT1G09210	100.00000000000001	0	0
AT1G09230	100	0	0
AT1G09240	100	0	0
AT1G09310	100	0	0
AT1G09320	66.3949275271739	33.60507247282608	0
AT1G09330	93.97905759295317	6.02094240704682	0
AT1G09340	0	100	0
AT1G09410	100	0	0
AT1G09460	100	0	0
AT1G09510	99.99999999999999	0	0
AT1G09520	100	0	0
AT1G09530	0	100	0
AT1G09540	0	100	0
AT1G09550	99.99999999999999	0	0
