Gene	SG1	SG2	SG3
AT1G01020	100	0	0
AT1G01040	100	0	0
AT1G01050	100	0	0
AT1G01060	100.00000000000001	0	0
AT1G01140	100	0	0
AT1G01160	100	0	0
AT1G01230	100	0	0
AT1G01240	100	0	0
AT1G01260	100	0	0
AT1G01310	100	0	0
AT1G01320	100	0	0
AT1G01350	100	0	0
AT1G01453	100	0	0
AT1G01460	100	0	0
AT1G01500	100	0	0
AT1G01510	100	0	0
AT1G01520	100	0	0
AT1G01540	100	0	0
AT1G01600	100	0	0
AT1G01630	100	0	0
AT1G01650	100	0	0
AT1G01660	99.99999999999999	0	0
AT1G01670	100	0	0
AT1G01730	0	100	0
AT1G01740	100	0	0
AT1G01750	100	0	0
AT1G01770	0	100	0
AT1G01780	7.837837837763332	92.16216216223668	0
AT1G01790	20.58823529353374	79.41176470646627	0
AT1G01800	100	0	0
AT1G01820	0	100	0
AT1G01860	0	100	0
AT1G01880	0	100	0
AT1G01910	0	100	0
AT1G01930	0	100	0
AT1G01950	0	100	0
AT1G01990	100	0	0
AT1G02010	0	100	0
AT1G02080	0	99.99999999999999	0
AT1G02130	0	100	0
AT1G02140	100	0	0
AT1G02145	100	0	0
AT1G02160	100	0	0
AT1G02180	99.99999999999999	0	0
AT1G02205	0	100	0
AT1G02270	100	0	0
AT1G02305	0	0	100
AT1G02410	0	100.00000000000001	0
AT1G02470	100	0	0
AT1G02530	100	0	0
AT1G02560	78.1456953627911	0	21.854304637208894
AT1G02630	0	0	100
AT1G02660	0	66.66666667142857	33.333333328571435
AT1G02680	100	0	0
AT1G02720	0	99.99999999999999	0
AT1G02740	0	100	0
AT1G02750	0.3531073447280774	99.64689265527193	0
AT1G02780	81.48148148641975	18.518518513580247	0
AT1G02790	2.272727272572314	18.939393937345045	78.78787879008264
AT1G02810	100	0	0
AT1G02820	100	0	0
AT1G02850	100	0	0
AT1G02880	100	0	0
AT1G02890	100	0	0
AT1G02900	0	0	100
AT1G02910	0	0	100
AT1G02960	0	0	100
AT1G02970	0	82.05128205798816	17.948717942011836
AT1G02980	0	100	0
AT1G02990	46.32057331730668	53.679426682693325	0
AT1G03000	14.743326492207666	85.25667350779234	0
AT1G03050	0.5157947824491046	99.38333868229348	0.10086653525741578
AT1G03055	0	100	0
AT1G03060	19.03300076662039	80.96699923337961	0
AT1G03070	100	0	0
AT1G03080	0	100	0
AT1G03090	0	100	0
AT1G03110	0	0	100
AT1G03140	0	48.484848481818176	51.515151518181824
AT1G03150	100	0	0
AT1G03160	0	0	100
AT1G03180	0	0	100
AT1G03190	0	0	100
AT1G03210	100	0	0
AT1G03250	100	0	0
AT1G03260	0	100	0
AT1G03280	100	0	0
AT1G03290	99.99999999999999	0	0
AT1G03330	100	0	0
AT1G03350	99.83090255754196	0	0.16909744245802755
AT1G03365	100	0	0
AT1G03380	100	0	0
AT1G03457	100	0	0
AT1G03475	0	100	0
AT1G03530	0	0	100
AT1G03550	0.09352384487611978	0.022267582113361852	99.88420857301053
AT1G03590	62.50000000117188	0	37.49999999882812
AT1G03610	100	0	0
AT1G03620	93.98496240614224	0	6.015037593857764
AT1G03680	0	100	0
AT1G03740	100	0	0
AT1G03750	0	100	0
AT1G03760	100	0	0
AT1G03830	0	0	100
AT1G03860	0	78.2051282051282	21.794871794871796
AT1G03900	4.029304029803164	0	95.97069597019684
AT1G03910	11.971830985692325	88.02816901430766	0
AT1G03920	100	0	0
AT1G03930	0	100	0
AT1G03950	100	0	0
AT1G03970	100	0	0
AT1G03980	0	100	0
AT1G03982	100	0	0
AT1G04000	91.53915391539154	8.46084608460846	0
AT1G04010	0	100	0
AT1G04020	0	100	0
AT1G04040	0	10.790697674244672	89.20930232575533
AT1G04080	64.81481480555556	0	35.18518519444444
AT1G04090	100	0	0
AT1G04100	99.99999999999999	0	0
AT1G04120	100	0	0
AT1G04140	0	96.01449275313091	3.9855072468690924
AT1G04160	0	100	0
AT1G04170	83.95833332824218	16.041666671757813	0
AT1G04200	13.513513512198687	0	86.48648648780132
AT1G04210	100	0	0
AT1G04260	0	0	100
AT1G04270	50	50	0
AT1G04280	100	0	0
AT1G04290	73.46938775660142	0	26.530612243398586
AT1G04300	72.3404255373278	24.77203646929375	2.8875379933784324
AT1G04340	6.707430056704963	0	93.29256994329504
AT1G04390	100	0	0
AT1G04400	98.09630459115554	0	1.9036954088444529
AT1G04410	95.59748427760769	0	4.4025157223923115
AT1G04430	100	0	0
AT1G04440	100	0	0
AT1G04450	0	42.580645158543184	57.419354841456816
AT1G04470	69.98880178913635	30.011198210863643	0
AT1G04480	43.47826086899811	0	56.521739131001894
AT1G04500	2.356020943025136	0	97.64397905697487
AT1G04530	100	0	0
AT1G04540	42.85714285408164	57.14285714591838	0
AT1G04555	100	0	0
AT1G04580	100	0	0
AT1G04590	100	0	0
AT1G04620	100	0	0
AT1G04630	57.284299857747044	38.89674681840316	3.818953323849803
AT1G04650	0	0	100
AT1G04670	3.392568659675698	96.6074313403243	0
AT1G04680	1.44691920005505	98.55308079994496	0
AT1G04690	0.2049880423571921	0	99.7950119576428
AT1G04700	100	0	0
AT1G04710	0	0	100
AT1G04730	61.990950227964206	0	38.00904977203579
AT1G04760	2.1913805699190196	97.80861943008098	0
AT1G04770	99.99999999999999	0	0
AT1G04780	54.54545454421487	0	45.45454545578512
AT1G04790	100	0	0
AT1G04840	100	0	0
AT1G04850	30.90909090472728	0	69.09090909527274
AT1G04860	0	99.32549624214619	0.6745037578538008
AT1G04880	5.777166437421976	93.2599724898119	0.9628610727661112
AT1G04890	100	0	0
AT1G04910	8.333333333333334	91.66666666666667	0
AT1G04920	100	0	0
AT1G04930	100	0	0
AT1G04945	95.86206896510956	0	4.137931034890436
AT1G04950	34.090909090134296	0	65.9090909098657
AT1G04960	100	0	0
AT1G04970	100	0	0
AT1G04980	100	0	0
AT1G04985	0	0	100
AT1G04990	100	0	0
AT1G05010	100	0	0
AT1G05020	96.50655021807174	0	3.493449781928262
AT1G05055	0	0	100
AT1G05090	99.65780059114043	0	0.34219940885956485
AT1G05120	23.529411761591696	0	76.47058823840831
AT1G05140	99.99999999999999	0	0
AT1G05150	100	0	0
AT1G05170	100	0	0
AT1G05180	100.00000000000001	0	0
AT1G05205	0	100	0
AT1G05220	100	0	0
AT1G05230	0	100.00000000000001	0
AT1G05270	0	54.54545454049586	45.45454545950413
AT1G05320	100	0	0
AT1G05350	0	100	0
AT1G05360	0	99.99999999999999	0
AT1G05380	100.00000000000001	0	0
AT1G05385	100	0	0
AT1G05430	100	0	0
AT1G05440	0	100	0
AT1G05450	0	100	0
AT1G05460	100	0	0
AT1G05500	68.75000000117187	0	31.249999998828127
AT1G05520	0	0	100
AT1G05570	100	0	0
AT1G05577	37.14285714212245	62.85714285787755	0
AT1G05580	100	0	0
AT1G05620	0	100	0
AT1G05630	0	21.62162162315559	78.37837837684441
AT1G05670	100	0	0
AT1G05680	100	0	0
AT1G05720	0	44.30379746979651	55.69620253020349
AT1G05750	0	0	100
AT1G05790	99.93742177722153	0	0.0625782227784731
AT1G05820	0	0	100
AT1G05830	0	100	0
AT1G05840	0	100	0
AT1G05850	92.30769230627219	0	7.692307693727811
AT1G05860	53.33333334	0	46.666666660000004
AT1G05870	100	0	0
AT1G05890	49.563318778393814	0	50.43668122160619
AT1G05894	0	0	100
AT1G05900	0	100	0
AT1G05910	55.55555555833334	44.44444444166666	0
AT1G05920	100	0	0
AT1G05960	0.4290850050653447	0.01159689202667745	99.55931810290798
AT1G05970	100	0	0
AT1G05990	0	0	100
AT1G06010	0	18.181818178099174	81.81818182190084
AT1G06050	100	0	0
AT1G06060	0	0	100
AT1G06070	100	0	0
AT1G06110	0	0	100
AT1G06140	100	0	0
AT1G06150	100	0	0
AT1G06190	100	0	0
AT1G06200	11.39705882069096	0	88.60294117930904
AT1G06210	0	61.9047619	38.0952381
AT1G06220	0	100	0
AT1G06230	96.85333333311387	0.26666666673408	2.880000000152064
AT1G06240	0	0	100.00000000000001
AT1G06250	100	0	0
AT1G06310	100	0	0
AT1G06380	0	99.99999999999999	0
AT1G06410	0	0	100
AT1G06430	1.7456359104147363	0	98.25436408958525
AT1G06450	0	100	0
AT1G06470	74.99999999625	0	25.00000000375
AT1G06475	100	0	0
AT1G06490	41.666666675	58.333333325000005	0
AT1G06500	0	100	0
AT1G06510	100	0	0
AT1G06530	99.9921627637202	0.00783723627979505	0
AT1G06540	100	0	0
AT1G06550	0	0	100
AT1G06560	0	0	100
AT1G06570	0	100	0
AT1G06580	0	100	0
AT1G06590	100	0	0
AT1G06660	0	0	100
AT1G06670	100	0	0
AT1G06680	100	0	0
AT1G06690	0	0	100
AT1G06700	2.949061661667949	97.05093833833205	0
AT1G06710	100	0	0
AT1G06720	100	0	0
AT1G06730	100	0	0
AT1G06750	0	100	0
AT1G06760	100.00000000000001	0	0
AT1G06780	10.526315789889196	89.4736842101108	0
AT1G06800	100	0	0
AT1G06820	0	100	0
AT1G06850	0	99.7289972899729	0.27100271002710025
AT1G06870	7.235142116753802	92.7648578832462	0
AT1G06890	89.2008639306826	9.179265658757796	1.6198704105595958
AT1G06900	0	0	100
AT1G06910	0	100	0
AT1G06970	0	0	100
AT1G07000	100	0	0
AT1G07030	100	0	0
AT1G07040	100	0	0
AT1G07050	3.392568658853589	0	96.60743134114641
AT1G07060	100	0	0
AT1G07080	3.6144578315430396	96.38554216845696	0
AT1G07110	22.72727272448347	45.45454545578512	31.818181819731404
AT1G07140	0	100	0
AT1G07160	100	0	0
AT1G07180	100	0	0
AT1G07200	0	100	0
AT1G07210	49.01960784117647	50.98039215882353	0
AT1G07220	3.6036036036036037	96.3963963963964	0
AT1G07230	100	0	0
AT1G07250	0	100	0
AT1G07260	100	0	0
AT1G07280	100	0	0
AT1G07300	100	0	0
AT1G07310	1.0204081632590587	98.97959183674095	0
AT1G07320	100	0	0
AT1G07330	0	0	100
AT1G07350	100	0	0
AT1G07360	0	0	100
AT1G07370	0	100	0
AT1G07380	0	0	100
AT1G07410	88.52459016320881	6.967213115106826	4.508196721684359
AT1G07420	49.99999999045454	34.545454554231405	15.45454545531405
AT1G07430	5.241935483700247	94.75806451629975	0
AT1G07440	100	0	0
AT1G07473	100	0	0
AT1G07480	16.040955634757537	4.77815699691202	79.18088736833045
AT1G07510	0	100	0
AT1G07530	0	0	100
AT1G07540	0.359594638803413	0	99.64040536119658
AT1G07610	0	100	0
AT1G07645	95.65217391275992	4.347826087240076	0
AT1G07730	100	0	0
AT1G07750	0	100	0
AT1G07810	77.77777778333333	22.222222216666665	0
AT1G07850	100	0	0
AT1G07870	21.306209849264523	0	78.69379015073548
AT1G07890	6.768734890671334	93.23126510932866	0
AT1G07910	99.99999999999999	0	0
AT1G07940	100	0	0
AT1G07980	30.769230763905327	69.23076923609467	0
AT1G07990	17.543859651338877	3.8596491228735	78.59649122578763
AT1G08010	100	0	0
AT1G08030	13.189448436002277	0	86.81055156399772
AT1G08040	100	0	0
AT1G08050	99.95309956686802	0	0.046900433131976074
AT1G08060	91.56414762778716	8.435852372212837	0
AT1G08110	100	0	0
AT1G08125	100	0	0
AT1G08130	99.0547263682555	0.9452736317444864	0
AT1G08135	100	0	0
AT1G08140	0	100	0
AT1G08150	0	100	0
AT1G08170	99.99999999999999	0	0
AT1G08190	100	0	0
AT1G08200	0.9140767827996484	3.47349177376115	95.61243144343919
AT1G08220	0	100	0
AT1G08250	0	100.00000000000001	0
AT1G08260	100	0	0
AT1G08315	100	0	0
AT1G08370	5.295950155728303	14.641744550443999	80.06230529382769
AT1G08380	100.00000000000001	0	0
AT1G08390	100	0	0
AT1G08410	0	0	100
AT1G08420	0	2.226861517884772	97.77313848211523
AT1G08470	100	0	0
AT1G08480	32.98969072515676	0	67.01030927484322
AT1G08510	4.19679215407629	85.98853153826975	9.81467630765395
AT1G08570	0	100	0
AT1G08580	100	0	0
AT1G08600	100	0	0
AT1G08620	100	0	0
AT1G08630	100	0	0
AT1G08650	55.76707726139227	0	44.23292273860773
AT1G08660	0	100	0
AT1G08680	100.00000000000001	0	0
AT1G08700	100	0	0
AT1G08710	100	0	0
AT1G08720	0	100	0
AT1G08730	97.5609756097561	0	2.4390243902439024
AT1G08750	100	0	0
AT1G08760	47.0817120620297	52.9182879379703	0
AT1G08770	100	0	0
AT1G08780	100.00000000000001	0	0
AT1G08800	100	0	0
AT1G08810	100	0	0
AT1G08820	78.50877192697945	4.824561403503001	16.666666669517543
AT1G08830	0	100	0
AT1G08840	0	100	0
AT1G08860	0	100	0
AT1G08910	0	100	0
AT1G08970	0	100	0
AT1G08990	0	0	100
